path,sentence
wav/griots-r1-2-Tx@BKO-PLAGE-104.18-108.45.wav,AAA O K'A MA A KO MUN Y'I SƆRƆ I NI JƆNNI CIRA ƝƆGƆNNA A KO NE NI MAA MA CI ƝƆGƆN NA DƐ
wav/griots-r1-2-Tx@BKO-PLAGE-108.65-113.55.wav,A KO N YE NI DUGUTIGI DENKƐFƆLƆ DE KƐLƐ LA N YE MURU D'A LA KA KANNAN KA KANTIGƐ O JOLI DE BƐ NE FARIKOLO NI ƝƆGƆN CƐ TAN
wav/griots-r1-2-Tx@BKO-PLAGE-11.63-12.66.wav,MU Y'E SE YAN
wav/griots-r1-2-Tx@BKO-PLAGE-113.95-116.53.wav,N NANA DE KA NA N KALIFA I LA N'A YA SƆR'I BƐ SE KA N BISIMILA
wav/griots-r1-2-Tx@BKO-PLAGE-116.73-120.39.wav,A KO TIƝƐN YƐRƐ LA A KO E YE FƐN BƐƐ KƐ N YE MƐ I BISIMILA YƆRƆ TƐ NE FƐ YAN
wav/griots-r1-2-Tx@BKO-PLAGE-12.86-16.34.wav,AAA A KO BASI TƐ A KO DAYƐLƐ DƆRƆN A YE DAYƐLƐ A YE JOLI Y'A FARIKOLO BƐ NI ƝƆGƆN CƐ
wav/griots-r1-2-Tx@BKO-PLAGE-121.23-123.58.wav,O FANA Y'A GƐN DƆNKE A TAARA LABAN MIN
wav/griots-r1-2-Tx@BKO-PLAGE-124.12-127.95.wav,A TAARA LABAN A BADEN KƆRƆ DE FƐ YEN FAKELENBAKELEN
wav/griots-r1-2-Tx@BKO-PLAGE-128.07-128.9.wav,SISAN A NANA YEN
wav/griots-r1-2-Tx@BKO-PLAGE-134.9-136.52.wav,A NANA A YE KƆRƆKE KA DA KONKO
wav/griots-r1-2-Tx@BKO-PLAGE-136.92-144.16.wav,KƆRƆKƐ K'A MA A KO JƆNNI DO AAA A K'I DƆGƆ KARISA DE DO EEE A KO NE DƆGƆ KARISA SAN TAN I MA N ƝINI
wav/griots-r1-2-Tx@BKO-PLAGE-145.08-149.39.wav,SAN TAN E TA DƆN N BƐ DUGU MIN NA BI E KA WULI KA NA NE ƝINI O KADI
wav/griots-r1-2-Tx@BKO-PLAGE-149.7-151.5.wav,AAA A KO N KƆRƆ E KA DA YƐLƐ BANI
wav/griots-r1-2-Tx@BKO-PLAGE-151.73-152.43.wav,KƆRƆKƐ YE DA YƐLƐ
wav/griots-r1-2-Tx@BKO-PLAGE-152.75-156.43.wav,A ƝƐ BƐ NBAMURUB'A LA BOLO JOLI B'A FARIKOLO BƐƐ NI ƝƆGƆN KƆRƆKƐ YƐRƐ
wav/griots-r1-2-Tx@BKO-PLAGE-156.53-158.11.wav,A KO N DƆGƆ MUN Ɲ'I SƆRƆ JƆNNI SER'I MA
wav/griots-r1-2-Tx@BKO-PLAGE-159.23-161.47.wav,AAA A KO MAA MA SE N MA NE DE SERA MAA MA
wav/griots-r1-2-Tx@BKO-PLAGE-16.46-21.07.wav,EEE A K'I NI JONI KƐLƐLA N'O YE JOGIN TA A KO AYI A KO MAA MA NE JOGIN NE DE YE MAA JOGIN A KO E YE MUN KƐ A KO NE DE YE MƆGƆ
wav/griots-r1-2-Tx@BKO-PLAGE-169.93-174.42.wav,FAAMA DE B'A LA KA NE ƝINI NE NANA N BƐNA KANA KALIFA E MA N'A Y'A SƆRƆ E BƐ SE KA NE BISIMI LA
wav/griots-r1-2-Tx@BKO-PLAGE-174.63-184.31.wav,KƆRƆ KO A MA TELIYALA A KO N DƆGƆ A KO DULOKI MINNU B'I KANNA OLU BƆ KULUSI MIN B'I LA E KO BƆ A KO SAMARA MINNU B'I SENNA I K'A BƐE BƆ I KA NBAMURU DI NE MAN
wav/griots-r1-2-Tx@BKO-PLAGE-184.76-188.79.wav,A B'A FƆ I MUSO YE A KA DON ƝƐGƐN NA KA TAA JI TA KA TAA SIGI ƝƐGƐN NA I K'I KO
wav/griots-r1-2-Tx@BKO-PLAGE-189.07-193.04.wav,N BƐ FINI NINNU DON N NA E KA DON SO KƆNƆ I KA T'I DA N SIGI YAN N'U NANA N B'A FƆ NE DE Y'A FAA
wav/griots-r1-2-Tx@BKO-PLAGE-193.4-195.83.wav,WA PURUKE K'I KISI O KANA SE K'I MINƐ
wav/griots-r1-2-Tx@BKO-PLAGE-196.4-203.56.wav,DONKE KƆRƆKƐ MIN BƐ YE N'A Y'O JUGUYA SAN TAN O DE Y'A BISIMIL'A KA SO SINJI KƆSƆ
wav/griots-r1-2-Tx@BKO-PLAGE-203.88-206.96.wav,PASIKE SINJI YE ALE DE TA Y E ALA DE YE SINJI DA
wav/griots-r1-2-Tx@BKO-PLAGE-207.13-211.74.wav,MƆGƆ MIN YE KELEN TIG'A LA ALA BƐ KELEN TIGƐ E LA N'I YE TAN TIG'A LA A BƐ BA KELEN TIG'I LA
wav/griots-r1-2-Tx@BKO-PLAGE-212.09-215.37.wav,DONKE DƆGƆNI Y'I KO K'I JƐ KA N'I DA KƆRƆKƐ FƐ YEN
wav/griots-r1-2-Tx@BKO-PLAGE-22.09-26.06.wav,A KO N YE DUGUTIGI DENKƐFƆLƆ DE DA K'A KANTIGI O JOLI DE BƐ NE FARIKOLO NI ƝƆGƆ CƐ
wav/griots-r1-2-Tx@BKO-PLAGE-224.35-228.78.wav,A YE KƆRƆKƐ T'A TƐGƐ MA NBAMURU BƐ KƆRƆKƐ BOLO ANI KƆRƆKƐ TAARA DUGU SO KƆFƐ
wav/griots-r1-2-Tx@BKO-PLAGE-229.18-233.84.wav,U TAALEN DUGU SO KƆFƐ A NANA KA NA BAKƆRƆNBILENMA SABA DALEN JIRA KƆRƆKƐ LA
wav/griots-r1-2-Tx@BKO-PLAGE-234.17-240.91.wav,A KO I MA BAKƆRƆNBILENMA SABA YE WA KO NE MA DUGUTIGI DENKƐFƆLƆ FAGA DƐ N YE BAKƆRƆNBILENMA SABA DE DA KA KANTIGƐ O JOLIW DE FILƐ N FARISOGO LA
wav/griots-r1-2-Tx@BKO-PLAGE-241.94-244.31.wav,BI N Y'ADƆN KO SINJI YE ALA DE TA YE
wav/griots-r1-2-Tx@BKO-PLAGE-244.6-251.49.wav,TERI MINNU BƐ NE KƆ N'U B'A FƆ NE MA PERISIDAN N'U B'A FƆ NE MA KARISA KARISA U SI TUN TƐ NE FƐ A BƐƐ BƐ N BOLO FƐ DE FƐ
wav/griots-r1-2-Tx@BKO-PLAGE-252.25-258.34.wav,DONKE OLU DE YE N SU FANA KA N BILA I LA DONKE N NANA DE KA NA YAFA ƝIN'I FƐ A N'A KƆRƆKƐ U Y'U BARI ƝƆGƆN NA
wav/griots-r1-2-Tx@BKO-PLAGE-259.17-263.65.wav,DONKE K'A JIRA DIƝƐMƆGƆ LA BALIMAW YƐRƐDAMA KA ƝƆGƆN MINƐ
wav/griots-r1-2-Tx@BKO-PLAGE-26.37-30.82.wav,NE B'A LA KA ƝININ N'A YA SƆRƆ I BƐ SE KA NE BISIMILA PURUKE FAAMA KANA NE MINƐ
